index,45M_index,dielectric,homo,lumo,oxidation,reduction,ip,ea,deo,der,oxidation_solv,reduction_solv,ip_solv,ea_solv,deo_solv,der_solv,redox_stable
0,6138,2.94963746861052,-0.21077,-0.10008,6.059679182481214,1.701445575122131,6.105856928279089,1.678724056120719,6.095271693684159,1.6081921073193677,4.355338314410106,3.348755430505079,4.401516060207981,3.326033911503667,4.390930825613051,3.2555019627023154,yes
1,7588,2.4653861804312696,-0.21828,-0.09059,6.808112086107813,1.21242822677851,6.831323410311081,1.1752030315765938,6.818642897909067,1.0950654585778392,4.776647849094229,2.96628690394974,4.799859173297498,2.929061708747824,4.787178660895483,2.848924135749069,yes
2,7789,3.2894198128197227,-0.28114,-0.19341,9.055889510617318,3.961908818246938,9.113795369816518,3.934996743646826,9.17074883001812,3.907540441044994,6.57650105770812,5.153029267103114,6.634406916907319,5.126117192503002,6.691360377108924,5.09866088990117,yes
3,10578,2.844782887369063,-0.20934,-0.12524,6.859195856848198,2.2387373620454527,6.914707112844163,2.2209683178470048,6.941673610247232,2.159035171445599,5.007741180611235,3.785289879544994,5.0632524366072,3.7675208353465455,5.090218934010268,3.70558768894514,yes
4,19006,3.839888524052508,-0.26415,-0.12561,8.459576632463033,3.0014179642298475,8.497917495062133,2.9752133860310424,8.561211211469386,2.951376199629354,6.350115978675595,4.306266364101555,6.388456841274695,4.28006178590275,6.451750557681947,4.256224599501062,yes
5,31631,2.957249670625329,-0.21737,-0.11743,7.224147616096318,1.8584803059683777,7.257617638095341,1.8355683071705404,7.268012392893845,1.7806012791701078,5.143526583629118,3.476438557534559,5.1769966056281405,3.453526558736722,5.187391360426645,3.398559530736289,yes
6,43301,3.215565469294799,-0.28271,-0.16274,8.92563604916259,3.2306797236218765,8.97956904396254,3.2320675050214662,9.033774152761804,3.199604304822995,6.637238725672536,4.495532698935451,6.691171720472486,4.49692048033504,6.745376829271748,4.4644572801365685,yes
7,44228,2.5982101246907234,-0.21135,-0.13808,7.108855798702352,2.413822883931464,7.134080766497442,2.41616306433793,7.160094864899822,2.357522497334398,5.193550116589522,3.9483374046075226,5.218775084384614,3.9506775850139886,5.244789182786993,3.892037018010456,yes
8,47165,2.9114440908240606,-0.25403,-0.17044,8.14612851587174,3.333613646975721,8.196578451474295,3.305885230368389,8.232415865267342,3.268986571974929,6.292895030407067,4.72739298376198,6.343344966009624,4.699664567154647,6.379182379802669,4.662765908761188,yes
9,61219,4.0244461345621945,-0.2517,-0.16218,8.075607723750144,3.135127708862926,8.132506761145699,3.130556193662094,8.17359597514714,3.092378599462582,6.02674604141555,4.535079951738912,6.083645078811105,4.53050843653808,6.124734292812547,4.492330842338569,yes
10,65189,2.868418490357288,-0.2645,-0.18075,8.51830378614447,3.433369142744705,8.526848165744553,3.431110596547313,8.594114746544868,3.39513712574533,6.533470228683758,4.840896549576393,6.54201460828384,4.8386380033790015,6.609281189084156,4.802664532577019,yes
11,66110,3.131929770441946,-0.25075,-0.16575,6.837277591163627,3.246829689522865,6.876489218560527,3.2327886071211926,6.884489370165078,3.1999444473205894,4.892399647989318,4.715463233887565,4.931611275386219,4.701422151485892,4.939611426990769,4.668577991685289,yes
12,108513,3.6056038068367,-0.21617,-0.12453,6.991522854196227,2.2254192865399234,7.002706739595833,2.2132013679398352,7.021074434595863,2.146914397540141,5.044885612375135,3.778502757733529,5.056069497774741,3.7662848391334407,5.074437192774771,3.699997868733746,yes
13,134411,2.6962352701530783,-0.24028,-0.10676,7.658402294039285,1.5804183837368575,7.698947280039007,1.5427578061360403,7.726049834441732,1.4624569647346046,5.587192487532685,3.144177676280105,5.627737473532407,3.106517098679288,5.654840027935132,3.026216257277852,yes
14,139510,2.2652038132176777,-0.23178,-0.09712,7.409635375914035,4.288986036648101,7.4874599799155375,4.018804046046564,7.4992153047167935,3.916325913645436,5.33737651551523,5.499137403961982,5.415201119516731,5.228955413360445,5.426956444317987,5.126477280959317,no
15,142352,2.3752737120642577,-0.24139,-0.15557,7.825558033011803,2.832786142864298,7.846211485612248,2.8573036142642687,7.890647701811427,2.819588613866683,5.679356193189341,4.347422518147508,5.700009645789788,4.371939989547479,5.744445861988965,4.3342249891498925,yes
16,146074,2.678957429378397,-0.22951,-0.09844,7.836274480978916,1.595608195383552,7.861390603180468,1.578465013383524,7.8878945067816115,1.524123847581511,6.065648819415652,3.2488844223427216,6.090764941617205,3.2317412403426937,6.117268845218348,3.177400074540681,yes
17,151433,3.204783128657661,-0.21575,-0.14928,7.296806571186438,2.661512475521919,7.2864390277847715,2.6630363139242585,7.307609496987006,2.613892525524592,5.253182539121014,4.092291697115693,5.242814995719348,4.093815535518032,5.263985464921582,4.0446717471183655,yes
18,151602,3.412851383045992,-0.26122,-0.14613,8.422339464244901,2.7419689661403663,8.472734977053781,2.7175059175371645,8.509497578450679,2.6701308701361253,6.302051394389841,3.978472941668926,6.352446907198722,3.954009893065724,6.389209508595619,3.906634845664685,yes
19,151674,3.1118562012942115,-0.20747,-0.08928,5.046928834770776,2.912472333153828,5.124671804563202,2.8685259221626933,5.100535292765363,2.786456339759536,3.412162890561754,4.451068835949265,3.48990586035418,4.40712242495813,3.465769348556341,4.325052842554973,no
20,151789,2.863700711347724,-0.2329,-0.12491,7.587154658202132,2.1578253798150846,7.614420481007539,2.1384236516114785,7.644516289405799,2.07893953121317,5.64031422886218,3.7292815528997743,5.667580051667587,3.709879824696168,5.697675860065847,3.650395704297859,yes
