index,45M_index,dielectric,homo,lumo,oxidation,reduction,ip,ea,deo,der,oxidation_solv,reduction_solv,ip_solv,ea_solv,deo_solv,der_solv,redox_stable
0,711,3.99270210726068,-0.24184,-0.14084,7.897902315474515,2.734484198439935,7.9535496284732305,2.7291779754440517,7.98255698087424,2.6916534548428905,5.703139364954757,4.0939790760349295,5.758786677953473,4.0886728530390455,5.7877940303544815,4.051148332437885,yes
1,3122,2.55464227846325,-0.25587,-0.14155,8.34437180992603,2.844199910168469,8.3646987257273,2.841914152568053,8.415665677925457,2.7918995993705846,5.912421208330012,4.096700678623154,5.932748124131283,4.094414921022738,5.983715076329441,4.044400367825269,yes
2,6138,2.7515170867856886,-0.21072,-0.10018,6.056628240312131,1.706643496746721,6.105717605911936,1.6794048853443395,6.095105159913981,1.6084375541440874,4.352622616688919,3.3522564492283444,4.401711982288723,3.325017837825963,4.391099536290769,3.254050506625711,yes
3,7588,2.7149735432120425,-0.21841,-0.09082,6.807201293340103,1.21471221563807,6.831201748138286,1.1755550110410316,6.8185212357393645,1.095308592439458,4.777067340039629,2.968846054481025,4.801067794837811,2.9296888498839864,4.788387282438891,2.849442431282413,yes
4,7789,2.7984952569887733,-0.28126,-0.19326,9.05413543656286,3.998321617096218,9.11266715796048,3.9356537628966666,9.169838309361534,3.908197460297928,6.57295579324924,5.190447200645426,6.631487514646859,5.127779346445875,6.688658666047914,5.100323043847137,yes
5,7824,2.413319632481957,-0.24147,-0.13954,7.728988910546697,2.4747783247348547,7.819820563746293,2.450315276131653,7.869807905546924,2.394831231532525,5.751341911033492,3.99242803603407,5.842173564233089,3.967964987430868,5.89216090603372,3.9124809428317406,yes
6,10578,3.5982802234426106,-0.20935,-0.1252,6.864347655154964,2.2403250656025926,6.914933647754083,2.2208417031991927,6.941628031154744,2.1589357682008115,5.012388397927523,3.786780710515533,5.062974390526643,3.767297348112133,5.089668773927305,3.7053914131137513,yes
7,12024,3.3370769922291386,-0.24304,-0.1082,7.783053227560185,1.6152798062505196,7.835652863760407,1.585156786452327,7.878456395960613,1.513237056251386,5.63540937401915,3.191932241069579,5.688009010219372,3.1618092212713864,5.730812542419579,3.089889491070445,yes
8,12303,2.7573291715715547,-0.24105,-0.12802,7.758012317664787,2.192763728956628,7.781468544467438,2.190396337153324,7.803047184665547,2.133143551555569,5.673470775541295,3.711694280852125,5.696927002343945,3.7093268890488216,5.718505642542056,3.652074103451066,yes
9,14268,3.148658165559992,-0.2925,-0.1719,9.5392555953992,3.3638538118525823,9.588072846999692,3.3474181262507683,9.68981627159958,3.312723591251743,7.307488351831529,4.50832439711759,7.356305603432021,4.491888711515776,7.45804902803191,4.457194176516751,yes
10,15644,2.8505459773707247,-0.20723,-0.11088,6.623581841023192,2.156990534062841,6.632371123228844,2.165698182059418,6.63903791622748,2.100717358862613,4.887191930259144,3.873261152008364,4.895981212464795,3.8819688000049406,4.902648005463432,3.816987976808136,yes
11,16410,2.69389836988094,-0.21265,-0.09294,7.015790933110709,1.2048401646225877,7.051764403912691,1.1858738188240694,7.071519880312311,1.1250835512228712,5.091678417448507,2.715128675202959,5.12765188825049,2.696162329404441,5.1474073646501095,2.6353720618032423,yes
12,19006,3.3121630205804875,-0.26407,-0.12563,8.456647053135232,3.0082121065887,8.497709055739834,2.975340735385072,8.560839503741313,2.952020565585172,6.346719451724601,4.31214919668466,6.387781454329205,4.279277825481032,6.450911902330682,4.255957655681131,yes
