index,45M_index,dielectric,homo,lumo,oxidation,reduction,ip,ea,deo,der,oxidation_solv,reduction_solv,ip_solv,ea_solv,deo_solv,der_solv,redox_stable
0,6138,3.2027865760886844,-0.21075,-0.10008,6.060891994585402,1.7028551256342408,6.106035707185887,1.6788818822359894,6.095695375187246,1.6080506080323005,4.355465935875258,3.351838482120697,4.400609648475744,3.3278652387224463,4.390269316477101,3.257033964518757,yes
1,7588,2.19498977856452,-0.2065,-0.07169,6.046625057560897,0.8752102992109276,6.059060667363529,0.8610875826094612,6.056584429963594,0.8016306736079901,4.069001106107236,2.554734996347683,4.081436715909868,2.5406122797462163,4.078960478509933,2.4811553707447453,yes
2,7789,3.4009414327085192,-0.28125,-0.1933,9.052146963506615,3.964546555302511,9.112474637305889,3.9348589179032194,9.169863479906391,3.9073481925046183,6.571926766945998,5.156136264751168,6.63225444074527,5.126448627351876,6.689643283345776,5.098937901953275,yes
3,10578,2.7756516421286084,-0.20922,-0.12535,6.861063130326742,2.240056570718329,6.914125360331983,2.221063013516786,6.940901377929346,2.1594564039176487,5.009484914331677,3.7867020423579074,5.062547144336919,3.767708485156364,5.089323161934281,3.706101875557227,yes
4,19006,2.60753765497822,-0.26413,-0.12564,8.458235654683824,3.0054417139503413,8.497284013687324,2.9669920057391423,8.560550518685364,2.945304519947494,6.347998931759085,4.31510789219953,6.387047290762585,4.276658183988331,6.450313795760625,4.254970698196682,yes
5,31631,2.636642496770756,-0.2173,-0.11721,7.224154881537529,1.8546730229380035,7.25855009113731,1.8343461071367329,7.268536674936844,1.7800049413378138,5.139598318713034,3.473066412003075,5.173993528312814,3.4527394962018048,5.18398011211235,3.3983983304028857,yes
6,43301,3.069421740600637,-0.28244,-0.16542,8.118788433158386,4.034695422016416,8.183524353758903,4.028028629014687,8.227742878758631,4.005579224015681,5.8515158092941055,5.277449012564405,5.916251729894623,5.270782219562676,5.96047025489435,5.248332814563671,yes
7,44228,3.6419564145014895,-0.21134,-0.13801,7.109146416449781,2.412146117463552,7.13423532724831,2.4152210056650696,7.159814043251788,2.3570974552633257,5.19283119140043,3.947616846739322,5.217920102198958,3.9506917349408393,5.243498818202436,3.892568184539096,yes
8,47165,3.2999156085846275,-0.25387,-0.17041,8.143702619564616,3.329693572694132,8.196329467161675,3.305366581099867,8.231704287158983,3.2682230200977447,6.290245456406305,4.724130881128439,6.342872304003365,4.699803889534175,6.378247124000673,4.662660328532052,yes
9,61219,3.520187552157428,-0.2518,-0.16216,8.070036189594877,3.1420524659278373,8.131343473797862,3.131494442729745,8.172323842193391,3.0931535801306453,6.021498867145731,4.541583204226838,6.082806151348717,4.531025181028746,6.123786519744247,4.492684318429647,yes
